route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
R01,WD,101WD-1,,,,
R01,WD,101WD-2,,,,
R01,WD,101WD-3,,,,
R01,WD,101WD-4,,,,
R01,WD,101WD-5,,,,
R01,WD,101WD-6,,,,
R01,WD,101WD-7,,,,
R01,WD,101WD-8,,,,
R01,WD,101WD-9,,,,
R01,WD,101WD-10,,,,
R01,WD,101WD-11,,,,
R01,WD,101WD-12,,,,
R01,WD,101WD-13,,,,
R01,WD,101WD-14,,,,
R01,WE,101WE,,,,
R02,WD,102WD-1,,,,
R02,WD,102WD-2,,,,
R02,WD,102WD-3,,,,
R02,WD,102WD-4,,,,
R02,WD,102WD-5,,,,
R02,WD,102WD-6,,,,
R02,WD,102WD-7,,,,
R02,WD,102WD-8,,,,
R02,WD,102WD-9,,,,
R02,WD,102WD-10,,,,
R02,WD,102WD-11,,,,
R02,WD,102WD-12,,,,
R02,WD,102WD-13,,,,
R02,WD,102WD-14,,,,
R03,WD,103WD-1,,,,
R03,WD,103WD-2,,,,
R03,WD,103WD-3,,,,
R03,WD,103WD-4,,,,
R03,WD,103WD-5,,,,
R03,WD,103WD-6,,,,
R03,WD,103WD-7,,,,
R03,WD,103WD-8,,,,
R03,WD,103WD-9,,,,
R03,WD,103WD-10,,,,
R03,WD,103WD-11,,,,
R03,WD,103WD-12,,,,
R03,WD,103WD-13,,,,
R03,WD,103WD-14,,,,
R03,WD,103WD-15,,,,
R03,WD,103WD-16,,,,
R03,WD,103WD-17,,,,
R03,WD,103WD-18,,,,
R03,WD,103WD-19,,,,
R03,WE,103WE,,,,
R04,WD,104WD-1,,,,
R04,WD,104WD-2,,,,
R04,WD,104WD-3,,,,
R04,WD,104WD-4,,,,
R04,WD,104WD-5,,,,
R04,WD,104WD-6,,,,
R04,WD,104WD-7,,,,
R04,WD,104WD-8,,,,
R04,WD,104WD-9,,,,
R04,WD,104WD-10,,,,
R04,WD,104WD-11,,,,
R04,WD,104WD-12,,,,
R04,WD,104WD-13,,,,
R04,WD,104WD-14,,,,
R04,WE,104WE,,,,
R05B,WD,105BWD-1,,,,
R05B,WD,105BWD-2,,,,
R05B,WD,105BWD-3,,,,
R05B,WD,105BWD-4,,,,
R05B,WD,105BWD-5,,,,
R05B,WD,105BWD-6,,,,
R05B,WD,105BWD-7,,,,
R05B,WD,105BWD-8,,,,
R05B,WD,105BWD-9,,,,
R05B,WE,105BWE,,,,
R05N,WD,105NWD-1,,,,
R05N,WD,105NWD-2,,,,
R05N,WD,105NWD-3,,,,
R05N,WD,105NWD-4,,,,
R05N,WD,105NWD-5,,,,
R05N,WD,105NWD-6,,,,
R05N,WD,105NWD-7,,,,
R05N,WD,105NWD-8,,,,
R05N,WD,105NWD-9,,,,
R05N,WE,105NWE,,,,
R05S,WD,105SWD-1,,,,
R05S,WD,105SWD-2,,,,
R05S,WD,105SWD-3,,,,
R05S,WD,105SWD-4,,,,
R05S,WD,105SWD-5,,,,
R05S,WD,105SWD-6,,,,
R05S,WD,105SWD-7,,,,
R05S,WD,105SWD-8,,,,
R05S,WD,105SWD-9,,,,
R05S,WE,105SWE,,,,
R06,WD,106WD-1,,,,
R06,WD,106WD-2,,,,
R06,WD,106WD-3,,,,
R06,WD,106WD-4,,,,
R06,WD,106WD-5,,,,
R06,WD,106WD-6,,,,
R06,WD,106WD-7,,,,
R06,WD,106WD-8,,,,
R06,WD,106WD-9,,,,
R06,WD,106WD-10,,,,
R06,WD,106WD-11,,,,
R06,WD,106WD-12,,,,
R06,WD,106WD-13,,,,
R06,WD,106WD-14,,,,
R06,WD,106WD-15,,,,
R06,WD,106WD-16,,,,
R06,WD,106WD-17,,,,
R06,WD,106WD-18,,,,
R06,WD,106WD-19,,,,
R06,WD,106WD-20,,,,
R06,WD,106WD-21,,,,
R06,WE,106WE,,,,
R07,WD,107WD-1,,,,
R07,WD,107WD-2,,,,
R07,WD,107WD-3,,,,
R07,WD,107WD-4,,,,
R07,WD,107WD-5,,,,
R07,WD,107WD-6,,,,
R07,WD,107WD-7,,,,
R07,WD,107WD-8,,,,
R07,WD,107WD-9,,,,
R07,WD,107WD-10,,,,
R07,WD,107WD-11,,,,
R07,WD,107WD-12,,,,
R07,WD,107WD-13,,,,
R07,WD,107WD-14,,,,
R07,WD,107WD-15,,,,
R07,WD,107WD-16,,,,
R07,WD,107WD-17,,,,
R07,WD,107WD-18,,,,
R07,WD,107WD-19,,,,
R07,WD,107WD-20,,,,
R07,WD,107WD-21,,,,
R07,WE,107WE,,,,
R08,WD,108WD-1,,,,
R08,WD,108WD-2,,,,
R08,WD,108WD-3,,,,
R08,WD,108WD-4,,,,
R08,WD,108WD-5,,,,
R08,WD,108WD-6,,,,
R08,WD,108WD-7,,,,
R08,WD,108WD-8,,,,
