stop_id,stop_name,stop_lat,stop_lon
1,Stop 1,41.969662,-91.660211
2,Stop 2,41.972114,-91.661685
3,Stop 3,41.97077,-91.669195
4,Stop 4,41.971842,-91.669929
5,Stop 5,41.973699,-91.671121
6,Stop 6,41.97525,-91.673676
7,Stop 7,41.974324,-91.676268
8,Stop 8,41.973924,-91.677468
9,Stop 9,41.973003,-91.680036
10,Stop 10,41.972047,-91.682797
11,Stop 11,41.972681,-91.684461
12,Stop 12,41.974958,-91.68545
13,Stop 13,41.976074,-91.685516
14,Stop 14,41.978131,-91.686477
15,Stop 15,41.978166,-91.689202
16,Stop 16,41.978882,-91.691244
17,Stop 17,41.978985,-91.686399
18,Stop 18,41.978954,-91.683573
19,Stop 19,41.980137,-91.681924
20,Stop 20,41.981558,-91.681939
21,Stop 21,41.984036,-91.681941
22,Stop 22,41.985274,-91.681978
23,Stop 23,41.986665,-91.682015
24,Stop 24,41.988907,-91.682064
25,Stop 25,41.991148,-91.682103
26,Stop 26,41.992589,-91.682153
27,Stop 27,41.995014,-91.683865
28,Stop 28,41.991351,-91.683569
29,Stop 29,41.989148,-91.68468
30,Stop 30,41.989131,-91.687172
31,Stop 31,41.989142,-91.689637
32,Stop 32,41.989171,-91.69389
33,Stop 33,41.989221,-91.69638
34,Stop 34,41.98927,-91.700096
35,Stop 35,41.989272,-91.702612
36,Stop 36,41.989295,-91.705856
37,Stop 37,41.989328,-91.710365
38,Stop 38,41.989322,-91.712422
39,Stop 39,41.989431,-91.71613
40,Stop 40,41.988552,-91.720818
41,Stop 41,41.989411,-91.723999
42,Stop 42,41.987669,-91.725844
43,Stop 43,41.984688,-91.725773
44,Stop 44,41.980547,-91.725787
45,Stop 45,41.980047,-91.719692
46,Stop 46,41.980029,-91.716653
47,Stop 47,41.979951,-91.714671
48,Stop 48,41.979886,-91.71123
49,Stop 49,41.97975,-91.708306
50,Stop 50,41.979669,-91.703181
51,Stop 51,41.97826,-91.703142
52,Stop 52,41.97831,-91.705678
53,Stop 53,41.978332,-91.706896
54,Stop 54,41.978323,-91.709321
55,Stop 55,41.97835,-91.713423
56,Stop 56,41.978446,-91.715688
57,Stop 57,41.979997,-91.715739
58,Stop 58,41.98136,-91.715751
59,Stop 59,41.983088,-91.715813
60,Stop 60,41.985948,-91.715843
61,Stop 61,41.987717,-91.71575
62,Stop 62,41.989198,-91.715291
63,Stop 63,41.989138,-91.712753
64,Stop 64,41.989108,-91.710294
65,Stop 65,41.989083,-91.708944
66,Stop 66,41.988978,-91.706223
67,Stop 67,41.989058,-91.701991
68,Stop 68,41.988986,-91.69923
69,Stop 69,41.988906,-91.696313
70,Stop 70,41.988983,-91.693896
71,Stop 71,41.989,-91.689574
72,Stop 72,41.988929,-91.687195
73,Stop 73,41.988919,-91.684687
74,Stop 74,41.98891,-91.682298
75,Stop 75,41.986845,-91.682238
76,Stop 76,41.985444,-91.682211
77,Stop 77,41.984179,-91.6822
78,Stop 78,41.981776,-91.682164
79,Stop 79,41.980154,-91.682162
80,Stop 80,41.979149,-91.683264
81,Stop 81,41.979201,-91.686031
82,Stop 82,41.979245,-91.68923
83,Stop 83,41.978664,-91.691474
84,Stop 84,41.977994,-91.689504
85,Stop 85,41.977986,-91.687109
86,Stop 86,41.976088,-91.685769
87,Stop 87,41.975001,-91.685807
88,Stop 88,41.973557,-91.685293
89,Stop 89,41.972722,-91.683646
90,Stop 90,41.974131,-91.679598
91,Stop 91,41.974545,-91.678308
92,Stop 92,41.974925,-91.677087
93,Stop 93,41.975944,-91.674495
94,Stop 94,41.975654,-91.672598
95,Stop 95,41.973741,-91.671456
96,Stop 96,41.971863,-91.670237
97,Stop 97,41.97267,-91.662675
98,Stop 98,41.971991,-91.66196
99,Stop 99,41.969662,-91.660211
